name,address,website,phone_number,reviews_count,reviews_average
,"Business Park Kb. Jeruk, Jl. Blk. H1-H2 Jl. Meruya Ilir Raya No.88 1, RT.1/RW.5, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",cekindobusinesscenter.com,(021) 30061585,,
,"Grand Slipi Tower, Letjen S. Parman St No.Kav. 22-24 Lantai 5 Unit F, Palmerah, West Jakarta City, Jakarta 11480",prioffice.com,(021) 29866319,,
,"Grand Slipi Tower, l Jl. Letjen S. Parman No.24 9th floor, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",cekindobusinesscenter.com,(021) 80660900,,
,"Grand Slipi Tower, Jl. Letjen S. Parman No.22-24 Lantai 32, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 29022071,,
,"Kencana Tower, Jl. Meruya Ilir Raya No.88, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",eastacregistrar.com,0821-1111-4822,,
,"CHR Office, Grand Slipi Tower, Grand Slipi Tower Lt. 9 Unit O, Jl. Letjen S. Parman No.Kav 22-24, RT.1/RW.4, Palmerah, Kec. Palmerah, Jakarta, Daerah Khusus Ibukota Jakarta 11480",pusatlegalitas.com,0821-8203-2181,,
,"Grand Slipi Tower 42G-H Jl. S Parman Kav 22-24 RT/RW. 01/04 Kel, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",voffice.co.id,0812-8005-5105,,
,"Grand Slipi Tower lt. 23 unit H-1, l Jl. Letjen S. Parman No.22-24, Kec. Palmerah, Daerah Khusus Ibukota Jakarta 11480",3office.co.id,0882-1250-7374,,
,"APL Tower, Jl. Letjen. S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Grogol petamburan,, RT.12/RW.6, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",,,,
,"RR42+GJ5, Slipi, Palmerah, West Jakarta City, Jakarta",,,,
,"QQCX+VGV, STC Senayan, Jl. Asia Afrika, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 12950",companieshouse.id,,,
,"4, Jl. Letjen S. Parman No.24, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",grandslipi.com,0813-8560-2131,,
,"Jl. Letjen S. Parman Kav N2, Slipi RT.13, RT.13/RW.2, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",rentokil.com,(021) 53690111,,
