name,address,website,phone_number,reviews_count,reviews_average
,"Kencana Tower, Jl. Meruya Ilir Raya No.88, Meruya Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",eastacregistrar.com,0821-1111-4822,,
,"APL Tower, Jl. Letjen. S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Grogol petamburan,, RT.12/RW.6, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",,,,
,"RT.10/RW.10, Tomang, Grogol petamburan, West Jakarta City, Jakarta 11440",,(021) 68800525,,
,"Perkantoran tomang toll raya Blok A1 No.3, RT.10/RW.4, South Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",,,,
,"APL Tower, Central Park, Jl. Letjen S. Parman No.12, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",meso.co.id,(021) 27899919,,
,"Gelong Baru Timur II No. 5 RT.010/002, Jl. Gelong Baru Timur II No.5, RT.10/RW.2, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,0898-9810-322,,
,"Jl. Tomang Tinggi Raya No.4 6, RT.6/RW.7, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,(021) 29334651,,
,"APL Tower - 26 Floor (Vantage Office) - Central Park Tower, Jl. Letjen S. Parman No.Kav 28, Grogol, Kec. Grogol petamburan, Daerah Khusus Ibukota Jakarta 11440",klikcipta.com,0821-7777-8404,,
,"Jl. Bandengan Utara Raya No No.31BA 8, RT.7/RW.11, Pekojan, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11240",,(021) 6907852,,
,"Jl. Tomang Raya No.28, RT.5/RW.1, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,(021) 29414937,,
,"VV4M+64R, RT.10/RW.11, Sunter Jaya, Tanjung Priok, North Jakarta City, Jakarta 14350",,0813-9450-0410,,
,"AKR Tower, Jl. Panjang No.5, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530",unio.co.id,0815-8480-5600,,
,"Jl. Mandala Barat No.4, RT.1/RW.4, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,,,
,"QQCX+VGV, STC Senayan, Jl. Asia Afrika, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 12950",companieshouse.id,,,
,"Jl. Rasa Sayang C No.10, RT.10/RW.8, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,(021) 5600391,,
,"Jl. Tomang Raya No.70 1, RT.1/RW.3, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430",,,,
,"Jl. KH. Hasyim Ashari No.52 & 52a, RT.3/RW.8, Duri Pulo, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10140",,,,
,"jalan hayam wuruk 125 i / j, RT.2/RW.6, Mangga Besar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180",simmons.co.id,(021) 6258888,,
,"Satrio Tower 26-3, Jl. Prof. DR. Satrio, RT.1/RW.6, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950",companieshouse.id,(021) 22057930,,
,"agung sedayu, Komplek, Jl. Mangga Dua Raya No.14 Blok B, RT.17/RW.11, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730",,0817-841-028,,
,"Axa Tower, Jl. Prof. DR. Satrio No.Kav. 18 36th Floor, Kuningan, Kuningan City, Setiabudi, South Jakarta City, Jakarta 12940",cekindo.com,(021) 50101510,,
,"Perumahan Senayan, Jl. Tentara Pelajar No.1, RT.1/RW.7, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210",,,,
,"Jl. Salemba Tengah No.63 9, RT.9/RW.8, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,(021) 21476108,,
