name,address,website,phone_number,reviews_count,reviews_average
Kluege Technology Integrasi. PT,"Grand Slipi Tower No. 48, JL. Letnan Jenderal S. Parman, Kavling 22-24, RT.1/RW.7, RT.1/RW.4, Palmerah, West Jakarta City, Jakarta 11440",kluege.com,(021) 29022330,1,1.0
InCorp Indonesia (formerly Cekindo) Slipi,"Grand Slipi Tower, l Jl. Letjen S. Parman No.24 9th floor, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",cekindobusinesscenter.com,(021) 80660900,30,4.7
PT. Ivatama Teknologi - Grand Tower Slipi LT.19,"Jl. Letjen S. Parman No.22 1, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",ivteknologi.com,(021) 29252301,5,5.0
PT. MicroChannel Indonesia Operations,"Wisma Slipi, Wisma Slipi, 12th floor, Jl. Letjen S. Parman No.Kav. 12, RT.12/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",microchannel.asia,(021) 53661945,10,4.2
Saputra Global Harvest,"The Capitol Building 1st FLoor, Jalan Letjen S.Parman Kav 73, Slipi, RT.4/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",saputra.co.id,0812-3900-6060,,
Ego Pharmaceuticals (Indonesia),"Grand Slipi Tower Lt.9, Jl. Letjen S. Parman No.Kav 22-24 Unit G, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",egopharm.com,(021) 8066900,,
PT Quantum Inventions Indonesia,"Jl. K.S. Tubun No.85, RT.9/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",quantuminventions.com,(021) 5302752,27,4.8
PT. Rohto Laboratories Indonesia,"Wisma Barito Pacific, Tower B Lantai 7, Letjen S. Parman St Kav. 62-63, RT.8/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",rohto.co.id,(021) 53669091,11,4.2
PT. Artha Mulia Trijaya,"Grand Slipi Tower 23rd Floor, Jl. Letjen S. Parman LOBBY UNIT L, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",amt-it.com,(021) 29022508,25,4.5
PT. INDUSTRI KOMPRESOR INDONESIA,"Grand Slipi Tower, Jl. Letjen S. Parman, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",industrikompresor.com,(021) 5302636,,
sa.global Indonesia,"Menara Citicon Lt. 10 Ruang 10D, Jl. Letjen S. Parman Kav. 72, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",saglobal.com,(021) 29101095,1,5.0
PT. Mediatama Solusindo Teknologi,"Grand Slipi Tower, 5th Floor, Jl. Letjen S. Parman No.Kav. 22-24, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 29866319,,
Haltraco Sarana Mulia. PT,"Grand Slipi Tower, Jl. Letjen S. Parman No.Kav.22-24 6th Floor, RT.1/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 29021901,4,4.0
Soedarpo Informatika,"Jl. Letjen S Parman Kav 35 Slipi Palmerah Jakarta Barat, RT.2/RW.3, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",soedarpo.id,(021) 5307833,,
Slipi,"RR42+GJ5, Slipi, Palmerah, West Jakarta City, Jakarta",,,,
PT PKG Lautan Indonesia,"Graha Indramas, Jl. K.S. Tubun No.77 Lantai 5, RT.14/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",lautan-luas.com,(021) 53673269,1,5.0
REKAYASA ENJINIRING,"CHR Office, Grand Slipi Tower Lt. 9 Unit O, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,0822-3100-0097,1,5.0
Play Ground Packaging Djarum,,,0813-1086-0473,,
PT. Kluege International,"Grand Slipi Tower, Jl. Letjen S. Parman No.22 - 24 Lantai 48, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",kluege.com,(021) 29022330,10,4.6
PT Citramas Buana Mandiri,"Grand slipi tower lt. 9 unit O, CHR office kav 22-24 Rt.001/004, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",citramascbm.com,0812-9777-9332,3,5.0
PT TEKNODIGITAL SOLUSI INDONESIA,"CHR Office, Grand Slipi Tower, Jl.Jend.S.Parman No.Kav 22-24 Lt.9 Unit O, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",teksolin.com,0812-9889-5566,,
PT Georg Fischer Trading Indonesia (Sales & Marketing Office),"Letjen S. Parman St No.77, Slipi, Palmerah, West Jakarta City, Jakarta 11410",gfps.com,(0267) 432044,1,5.0
Venation,"PriOffice, Grand Slipi Tower Lantai 5 Unit F, Jl. Letjen S. Parman No.Kav. 22-24, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",venation.io,(021) 29866319,2,5.0
PT. Chandra Asri Petrochemical,"Wisma Barito Pacific, Jl. Letjen S. Parman No.Kav. 62 - 63 1, RT.8/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",chandra-asri.com,(021) 5307950,33,4.0
Satria Group,"Jl. Letjen S Parman Kav 77 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",satriagroup.co.id,(021) 5363138,2,5.0
PT. Festino Indonesia,"Wisma 77 Tower 1, 15th Floor, Jl. Letjen S. Parman No.Kav 77, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",festino.co.id,0817-888-822,3,5.0
Carboline Indonesia - PT. Carboline Indonesia Solusi,"Wisma 77 12th floor, RT.6/RW.3, Slipi, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",carboline.id,(021) 5363070,,
PT. Chandra Asri Pacific Tbk,"8, RW.4, Slipi, Palmerah, West Jakarta City, Jakarta",,,1,5.0
PT.Corsa Industries,"Jl. KS Tubun IIC No.1 6, RT.6/RW.1, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",corsa.co.id,(0622) 15480408,1,1.0
Password Solusi Sistem. PT,"Wisma 77 Tower 1, Jl. Letjen S. Parman No.Kav. 77 Lantai 15, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",password.co.id,(021) 5363207,441,5.0
Lautan Otsuka Chemical,"Jl. Aipda K.S. Tubun No.77 Slipi Palmerah Jakarta Barat DKI Jakarta RT.14, Lt 5, RT.14/RW.5, Slipi, Kec. Palmerah, Daerah Khusus Ibukota Jakarta 11410",lautanotsuka.com,(021) 53671250,2,4.5
PT. Makmur Meta Graha Dinamika (Head Office),"Wisma 77 Tower 2, Jl. Letjen S. Parman No.77, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",makmurmeta.co.id,(021) 29675888,11,4.6
PT. Imagi Mediacore Asia,"Grand Slipi Tower RT.1/RW.4, Palmerah, lt.42G-42H, Jl. Tol S. Parman No.Kav. 22-24, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",imaginarium.co.id,0812-1291-115,,
PT Cohesive Indonesia Group,"Citicon Tower, Slipi, Palmerah, West Jakarta City, Jakarta 11410",cohesivegroup.com,(021) 29866068,23,4.9
PT Global Niaga Sejahtera,"Grand Slipi Tower Lt.5 F, Jl. Letjen S. Parman Kav 22-24, RT.1/RW.5, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,(021) 50110009,1,5.0
Tri Banyan Tirta,"Jl. Perjuangan No.1, RT.5/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",altospringswater.com,(021) 5300689,,
Mashida Internasional Blockchain,"CHR Office, Grand Slipi Tower, Jl. Letjen S. Parman No.Kav 22-24 Lantai 9 Unit O, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",mashida.io,0858-9282-4600,,
Wacker Chemicals SA Pte Ltd,"Jl. Aipda K.S. Tubun No.77 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.14/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",wacker.com,(021) 53671278,1,5.0
Pt Spotelindo Mitra Utama,"Letjen S. Parman St No.18 E, RT.4/RW.3, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,,,
PT Pembangunan Telekomunikasi Indonesia,"Gedung Dana Pensiun Telkom, Jl. Letjen S. Parman No.56 Lantai 2, RT.14/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",bangtelindo.com,(021) 53672875,7,4.7
PT Septi Duta Insan,"Grand Slipi Tower, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450",,0812-6888-8239,1,5.0
PD Citra Rahayu Konveksi Jakarta,"Jl. Ks. Tubun III Dalam No.3 10, RT.3/RW.7, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,0856-9744-5994,1,5.0
CV. Bungur Jaya,"Jl. Ks. Tubun IIIC No.29, RT.2/RW.7, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 5303858,,
Centrico,"Letjen S. Parman St No.Kav 77, RT.6/RW.3, Slipi, Palmerah, West Jakarta City, Jakarta 11410",,(021) 5363838,,
Hutan Kusuma. PT,"Jl Letjen S Parman Kav 67 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.10/RW.4, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",,(021) 5306448,,
Grand Slipi Tower,"4, Jl. Letjen S. Parman No.24, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",grandslipi.com,0813-8560-2131,169,4.4
UNISON KARYATAMA,"Grand Slipi Tower, Jl. Letjen S. Parman No.1, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,,
PT Global Ace Coco - Indonesian Charcoal Manufacturer,"CHR Office, Gedung Grand Slipi Tower Lt. 9 Unit O, Jl. Letjen S. Parman No.Kav 22-24, RT.1/RW.4, Daerah Khusus Ibukota Jakarta 11480",globalacecoco.com,,2,5.0
Cabot Indonesia,"Jl. Letjen S Parman Kav 75 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.4/RW.9, Kota Bambu Sel., Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420",cabotcorp.com,(021) 5309255,,
iGuana Technology. PT,"Gedung Total, 3rd Floor, Suite 0301, JL. Letjend. S. Parman, Kavling 106A, RT.10/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,(021) 5680502,2,1.0
