name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Braga Technologies Jakarta Office,"Jl. RP. Soeroso No.25, RT.9/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",braga.co.id,Yes,,32,5.0
PT Flexi Dev Indonesia - Bandung Branch,"M26, Jl. Holis Regency, Babakan, Babakan Ciparay, Bandung City, West Java 40222",,,,7,4.4
IBM Indonesia,"The Plaza, Jl. M.H. Thamrin No.28-30 Lantai 18, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",ibm.com,Yes,(021) 29925000,,
PT. Sirius Indonesia,"Jl. Kembar I No.28 A, Cigereleng, Kec. Regol, Kota Bandung, Jawa Barat 40253",,No,0856-0424-2168,23,5.0
PT. PER Hamaren Technology Indonesia Cab. Bandung,"Jl. Ciumbuleuit No.95 A Lantai 3, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141",,No,0812-8114-7780,,
ReadyDok Indonesia,"Jl. Naripan No.53, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112",,,0898-9050-780,,
Kapal Api Group,"Jl. Taman Jatibaru Barat No.1, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",kapalapiglobal.com,Yes,(021) 3503880,191,4.3
Rumah IT Bandung,"Jl. Prof. Dr. Sutami No.111A, Sukarasa, Kec. Sukasari, Kota Bandung, Jawa Barat 40152",,No,0813-2204-2234,7,5.0
Terakorp Indonesia. PT,"Jl. Rajamantri Kaler No.23, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264",,,(022) 4211020,,
PT Sahaware Teknologi Indonesia,"Komplek Daichi, Jl. Terusan Jkt Utara No.69, Cicaheum, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40282",,No,0811-1244-040,26,4.7
GDP Labs Bandung Office,"Jl. Dr. Otten No.10, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171",gdplabs.id,Yes,,,
PT. Gracia Pharmindo,"Jl. Baranang Siang No.26 - 27 Blok G, Kebon Pisang, Sumurbandung, Bandung City, West Java 40112",gracia.co.id,Yes,(022) 4222208,10,4.7
