name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
United Can Company Limited,"Jl. Abdul Muis No.12 11, RT.11/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,No,(021) 3841085,20,4.5
PT. Finexus Jakarta,"Jl. Ir. H. Juanda 3 No.22 2, RT.2/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",finexusgroup.com,Yes,(021) 3514874,16,4.9
PT Rex Teknologi Indonesia,"Jl. Jati Baru Raya No.22, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,No,,1,5.0
Supra Engineering,"Jl. Pecenongan No.17D 1, RT.2/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",,,(021) 3852530,4,5.0
PT Merdika Teknologi Inovasi Kreasi,,,,0852-7010-5401,,
PT Xtrodata Persada Indonesia,"Jl. Suryopranoto No.11F, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,No,0819-0503-0235,,
Bernofarm Indonesia,"Jl. Suryopranoto No.2, RT.3/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",bernofarm.com,Yes,(021) 6318949,7,4.9
Solobhakti Jakarta Pusat,"Jl. Musi No.32, RT.11/RW.2, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",,,,2,5.0
PT Kimia Farma Tbk - Holding,"Jl. Veteran No.9 2, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",,No,1 500 255,61,4.0
PT Erasoft Teknologi Indonesia | Software Erp Pabrik,"Jl. Alaydrus No.37, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,No,0858-8537-7652,,
"PT. Acset Indonusa, Tbk","Jl. Majapahit No.26, RT.14/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",acset.co,Yes,(021) 3511961,56,4.7
D&C Engineering Company. PT,"JL. Cideng Barat, No.33, Cideng - Gambir,Jakarta, RT.3/RW.11, Cideng, Gambir, Central Jakarta City, Jakarta 10150",,,(021) 63858999,4,4.8
Aquarius Musikindo,"Jl. Batu Tulis XIII No.17, RT.7/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",,No,(021) 3807236,43,4.6
Distributor-Software.com,"Jl. Kaji No.22D, RT.8/RW.7, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",,No,0856-9771-8637,,
PT Bio Teknologi Sejahtera,,bioniqa.io,Yes,0821-1115-8032,,
PT. Hengan Global,"Jl. Ir. H. Juanda 3 No.25, RT.4/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",,No,(021) 3523282,2,4.0
Popular Can Utama (POP CAN Head Office),"Komp. Duta Merlin, Jl. Gajah Mada No.3-5 Blok E-37, North Petojo, Gambir, Central Jakarta City, Jakarta 10130",,,(021) 6341756,,
Satelkom Quarta,"Jl. Hayam Wuruk No.8 6, RT.6/RW.2, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",satelkom.com,Yes,(021) 3851918,3,5.0
