name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
PT. Weefer Indonesia,"Salak Masir No.7A 8, RT.5/RW.4, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 50986888,9,4.8
Impact. | ERP Indonesia,"Soho Podomoro City, Jl. Letjen S. Parman No.Kav. 28, RT.13/RW.4, Tj. Duren Sel., Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta 11470",impactfirst.co,Yes,0857-2499-8845,15,5.0
Vervetama Technology. PT,"Kompleks Ruko Wijaya Kusuma No 6AH,, Jalan Daan Mogot 11E, Wijaya Kusuma, Grogol petamburan, RT.6/RW.3, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",,,(021) 56980345,67,5.0
PT SOLUSI TEKNOLOGI SEJATI,"Jl. Raya Daan Mogot No.63 Lantai 3, RT.5/RW.1, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,,17,4.6
PT Vantsing International Group（万鼎国际）,"Jl. Dr. Susilo Raya No.C2, RT.1/RW.5, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450",,,0853-1580-1777,8,4.9
PT. Djakarta Mina Persada,"Jalan Dokter Makaliwe I No.17, RT.11/RW.8, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450",,,,,
"Artha Mitra Interdata, PT.","Wisma Interdata, JL. Dr. Makaliwe I, No.24D, RT.6/RW.6, Grogol, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450",arthamitra.co.id,Yes,(021) 56975111,10,5.0
PT Indo Sistem Global,"Neosoho Residence, Letjen S. Parman St No.Kav.28 26 Floor Unit 2610, RT.3/RW.5, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",,No,(021) 80604261,15,4.4
PT. Riasarana Electrindo,"No. 8 – 15, Komplek Perkantoran Grogol Permai, Jl. Prof. Dr. Latumeten Blok D, Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",risacorps.com,Yes,(021) 5649178,21,4.4
Unictive,"Ruko Garden Shopping Arcade No 9 BH Podomoro City (Central Park, Jl. Letjen S. Parman No.Kav 28, Jakarta, Daerah Khusus Ibukota Jakarta 11470",,No,0818-708-855,14,5.0
