name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
PT. Panca Asia Teknologi,"CHR Office, Grand Slipi Tower, Jl. Letjen S. Parman No.Kav 22-24 9 Unit O, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,0813-7282-3564,1,5.0
Sari Bumi Sakti,"Jl. Sulaiman No.40 6, RT.6/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,0857-7810-5907,3,4.0
PT Masterjaya Infotama Solusi,"Grand Slipi Tower, Jl. Letjen S. Parman No.Kav 22-24 Level 42 G-H, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,No,,,
Visimedia Distribusi,"Jl. Palmerah Bar. Gg. Bahagia No.206, RT.1/RW.10, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,(021) 70155533,6,4.0
PT. MicroChannel Indonesia Operations,"Wisma Slipi, Wisma Slipi, 12th floor, Jl. Letjen S. Parman No.Kav. 12, RT.12/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",microchannel.asia,Yes,(021) 53661945,10,4.2
Soedarpo Informatika,"Jl. Letjen S Parman Kav 35 Slipi Palmerah Jakarta Barat, RT.2/RW.3, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",soedarpo.id,Yes,(021) 5307833,,
PT. Ivatama Teknologi - Grand Tower Slipi LT.19,"Jl. Letjen S. Parman No.22 1, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",ivteknologi.com,Yes,(021) 29252301,5,5.0
Play Ground Packaging Djarum,,,,0813-1086-0473,,
PT B2BE SOLUTIONS INDONESIA,"Grand Slipi Tower Lantai 9th Unit G Jl. Letjen. S. Parman Kav. 22-24 Palmerah, Kota Adm Jakarta Barat, Jakarta, Jawa Tengah 11480",b2be.com,Yes,(021) 80660919,,
Compressor Jakarta,"Jl. Kemanggisan Utama Raya No.50A, Kemanggisan, Kec. Palmerah, Jakarta, Daerah Khusus Ibukota Jakarta 11480",,,0815-1461-3089,,
PT. Rohto Laboratories Indonesia,"Wisma Barito Pacific, Tower B Lantai 7, Letjen S. Parman St Kav. 62-63, RT.8/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",rohto.co.id,Yes,(021) 53669091,11,4.2
Ego Pharmaceuticals (Indonesia),"Grand Slipi Tower Lt.9, Jl. Letjen S. Parman No.Kav 22-24 Unit G, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",egopharm.com,Yes,(021) 8066900,,
PT. INDUSTRI KOMPRESOR INDONESIA,"Grand Slipi Tower, Jl. Letjen S. Parman, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,No,(021) 5302636,,
