name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Milagros,"Jl. Kramat Sawah 13 No.13 13, RT.13/RW.rt 07, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,No,0821-1183-3231,,
UD SAGALA PACKAGING,"gedung paseban lantai 2 samping tangga (samping plaza, Kenari",,,0812-1831-7635,,
PT Rayterton Indonesia,"Jl. Matraman Raya No.30E, RT.5/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0812-9012-0699,,
TOYOTA FAIR,"Jl. Salemba Raya No.67, RT.5/RW.6, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",,No,0812-9644-5168,,
ANAGATA,,,No,,,
PT. DAKAI INOVASI PRIME,"Pasar kenari lama, Jl. Salemba Raya No.023 Lt.2 Blok A LO 2 AKS, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,,,
Indo Fajar Senatama. PT,"Jl. Kramat Kwitang No.8, RT.1/RW.7, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",,,(021) 2302770,,
simosques,,,,0896-3414-5145,,
PT. Yarindo Farmatama,"Jl. Raden Saleh Raya No.4 1, RT.10/RW.2, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,(021) 3147201,5,2.6
"Hugaf - Jasa Pembuatan Website, Aplikasi Android & iOS Jakarta","Gedung Senatama 3rd Floor, Jalan Kwitang Raya No.8 RT.1/RW.4 Kwitang Senen, RT.1, RT.1/RW.7, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420",hugaf.com,Yes,0822-6000-4141,29,5.0
PT. Finaz Bintang Persada,"Jl. Jambrut No.14, RT.7/RW.2, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0877-8281-7965,1,5.0
High Energy Reccorrds,,,,0858-8982-9014,,
PT Sinergi Gula Nusantara,,,,,,
Aba Sarana Lestari. PT,"Menara Era, 8th Floor Suite 801, JL. Senen Raya, No. 135-137, 10410, RW.2, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",,,(021) 35198898,6,5.0
Yasa Ayu Abadi. PT,"Menara Salemba Lantai 3, JL. Salemba Raya, No. 5-5 A, Paseban, Senen, RT.17/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 39842963,3,5.0
PT. BANGUN RUMAH INDONESIA,"Jl. Salemba Raya No.16 3, RT.3/RW.6, Kenari, Senen, Central Jakarta City, Jakarta 10430",,,0852-8087-0017,5,5.0
MDHOSTER,"Jl. Salemba Raya Satu No.13, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0812-9318-404,,
Cyberindo Sinergi Sistem,"Vinilon Building, Jl. Raden Saleh Raya No.kav 13-17, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,,6,5.0
Berkat Sentosa Utama. PT,"5, Jl. Paseban Bar. No.10, RT.5/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 3922856,3,5.0
promo murah onlineshop,"Jl. Salemba Raya No.I 3, RT.3/RW.5, Paseban, Kec. Senen, Jakarta, Daerah Khusus Ibukota Jakarta 10430",,No,0831-2774-2000,,
PT Jaya Trade Indonesia,"Jl. Kramat Raya No.144, RT.7/RW.1, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",jayatrade.com,Yes,(021) 3159999,14,4.7
docmev.com,"Jl. Salemba I No.12 4, RT.4/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0812-9318-404,,
Sentral Grounding,,,,0895-3365-36216,,
Jasa Penerjemahan Jakarta,"Jl. Salemba Tengah No.117 4, RT.4/RW.4, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 51471165,,
PT. Kalimas Sarana Suplindo,"Jl. Kramat Raya No.178 C 1, RT.1/RW.3, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,(021) 3907447,241,4.9
Yorkstone.indonesia PT Mazaya Gemilang Utama,"Menara Salemba, Jl. Salemba Raya, RT.1/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,0878-5216-7226,4,5.0
PT. Biolife Medilab,"Jl. Salemba Raya No.51, RT.4/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",biolife.co.id,Yes,(021) 29627755,1,5.0
Victoria,"Jl. Kramat Raya 101 Paseban Senen Jakarta Pusat DKI Jakarta, RT.4/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440",,,(021) 39842823,,
Jasa Tukang Bangunan Renovasi Rumah,"Jl. Kenari 2 Jl. Salemba Raya No.85 RT 01/04, RW.4, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",,,0812-8517-4664,,
