name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Ego Pharmaceuticals (Indonesia),"Grand Slipi Tower Lt.9, Jl. Letjen S. Parman No.Kav 22-24 Unit G, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",egopharm.com,Yes,(021) 8066900,,
Pentalogic Indonesia,"Grand Slipi Tower, Gedung, Jl. Letjen S. Parman No.Kav. 22 - 24 Unit G-H, RT.1/RW.4, Palmerah, Daerah Khusus Ibukota Jakarta 11480",,No,(021) 29601595,,
PT. Tri Solusi Telematika,"Grand Slipi Tower Level 42G-H, Jl. Letjen S. Parman kav 22-24, Kec. Palmerah, Daerah Khusus Ibukota Jakarta 11480",,No,,1,5.0
Kluege Technology Integrasi. PT,"Grand Slipi Tower No. 48, JL. Letnan Jenderal S. Parman, Kavling 22-24, RT.1/RW.7, RT.1/RW.4, Palmerah, West Jakarta City, Jakarta 11440",,No,(021) 29022330,1,1.0
ISYS - Integrated Synergy System,"Jl. S. Parman Kav. 22-24, Grand Slipi Tower #42C, RT.1/RW.4, Palmerah, Jakarta, RT.1/RW.4, Palmerah, Kec. Palmerah, DKI Jakarta, Daerah Khusus Ibukota Jakarta 11480",isysedge.com,Yes,(021) 29865840,8,4.8
PT Masterjaya Infotama Solusi,"Grand Slipi Tower, Jl. Letjen S. Parman No.Kav 22-24 Level 42 G-H, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,No,,,
PT TEKNODIGITAL SOLUSI INDONESIA,"CHR Office, Grand Slipi Tower, Jl.Jend.S.Parman No.Kav 22-24 Lt.9 Unit O, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,No,0812-9889-5566,,
PT. MicroChannel Indonesia Operations,"Wisma Slipi, Wisma Slipi, 12th floor, Jl. Letjen S. Parman No.Kav. 12, RT.12/RW.1, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",microchannel.asia,Yes,(021) 53661945,10,4.2
PT. Mediatama Solusindo Teknologi,"Grand Slipi Tower, 5th Floor, Jl. Letjen S. Parman No.Kav. 22-24, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,,(021) 29866319,,
PT B2BE SOLUTIONS INDONESIA,"Grand Slipi Tower Lantai 9th Unit G Jl. Letjen. S. Parman Kav. 22-24 Palmerah, Kota Adm Jakarta Barat, Jakarta, Jawa Tengah 11480",b2be.com,Yes,(021) 80660919,,
PT. Ivatama Teknologi - Grand Tower Slipi LT.19,"Jl. Letjen S. Parman No.22 1, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",ivteknologi.com,Yes,(021) 29252301,5,5.0
PT Quantum Inventions Indonesia,"Jl. K.S. Tubun No.85, RT.9/RW.5, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",quantuminventions.com,Yes,(021) 5302752,27,4.8
Venation,"PriOffice, Grand Slipi Tower Lantai 5 Unit F, Jl. Letjen S. Parman No.Kav. 22-24, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",venation.io,Yes,(021) 29866319,2,5.0
Satria Group,"Jl. Letjen S Parman Kav 77 Slipi Palmerah Jakarta Barat DKI Jakarta, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",satriagroup.co.id,Yes,(021) 5363138,2,5.0
InCorp Indonesia (formerly Cekindo) Slipi,"Grand Slipi Tower, l Jl. Letjen S. Parman No.24 9th floor, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",cekindobusinesscenter.com,Yes,(021) 80660900,30,4.7
PT. Rohto Laboratories Indonesia,"Wisma Barito Pacific, Tower B Lantai 7, Letjen S. Parman St Kav. 62-63, RT.8/RW.4, Slipi, Palmerah, West Jakarta City, Jakarta 11410",rohto.co.id,Yes,(021) 53669091,11,4.2
