name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
PT. DELTA OMEGA SEJAHTERA,"Jl. Danau Toba No.104, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,0813-9813-8885,,
Sejahtera Group,"Jl. Tanah Abang 5 No.19, RT.2/RW.2, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",sejahteragroup.net,Yes,(021) 3505114,26,4.2
Mekari HQ Jakarta - Solusi Transformasi Digital Bisnis Terbaik Indonesia,"Mekari HQ, Mid Plaza 2, Jl. Jenderal Sudirman No.4 Kav. 10-11, Karet Tengsin, Tanah Abang, Central Jakarta City, Jakarta 10220",mekari.com,Yes,0813-9277-0506,72,4.6
PT ADHIMIX RMC INDONESIA PLANT TANAH ABANG 2,"3, RT.3/RW.1, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",adhimix.co.id,Yes,,37,4.9
PT.Adhimix Precast Indonesia Batching Plant Tanah Abang,"Jl. H. Fachrudin No.40 11, RT.11/RW.5, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,,(021) 3142535,30,4.5
Terasys Virtual. PT,"13, CenterFlix Building, Jl. Danau Toba No.104, RT.13/RW.3, Bend. Hilir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,,(021) 51472825,4,5.0
PT. Motive Mulia - Plant Tanah Abang,"RR39+CJ4, Kebon Melati, Tanah Abang, Central Jakarta City, Jakarta 10230",,,(021) 29613333,2,5.0
PT Mitsubishi Tanabe Pharma Indonesia,"Jl. Tanah Abang III No.8 2, RT.2/RW.3, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,No,(021) 3841842,9,4.4
Zanroo Indonesia,"Jalan Fachruddin No.5, Kampung Bali, Tanah Abang Jakarta Pusat, DKI Jakarta, 10250 The Boulevard, 6th Floor, Unit B1-B2, Daerah Khusus Ibukota Jakarta 10250",,,(021) 27899107,6,5.0
kostan,"RR25+HGC, RW.9, Petamburan, Tanah Abang, Central Jakarta City, Jakarta 10260",,,,,
MoEngage Inc,,moengage.com,Yes,,,
PT Inti Corpora Teknologi,"Grha Infracom, Jl. Tanah Abang II No.46, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",,No,0898-0898-678,2,5.0
PT. Java Energy Semesta,"Jl. Taman Kb. Sirih III No.11A, RT.9/RW.10, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,,(021) 3156995,7,4.9
Qomunal,"Jl. K.S. Tubun No.25, Petamburan, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10260",,No,0851-7425-8138,,
PT. Kurongkor Utama Company,"Jl. Jenderal Sudirman No.8, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",,No,(021) 7204511,,
PT. Arga Solusi Technologies,"City Office Park Blok AB No. 3, JL Raya Kebon Kacang Thamrin, Kebon Melati, Tanah Abang, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",,,(021) 31990781,2,5.0
Karet Pasar Baru Barat I No. 9,"Jl. Karet Pasar Baru Barat I No.9, RT.1/RW.6, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",,,,,
CooRa Premium Tanah Abang,"Jl. Kp. Bali 26 No.1 6, RT.6/RW.6, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,,0822-6918-2800,2,5.0
Fgs Infotama,"GP Plaza Lt.15, Jl. Palmerah Utara No.1, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",,No,0815-8800-886,,
Office PT. Tangguh SM (Menara BNI Pejompongan),"QRW3+F7G, Jl. Pejompongan V D, RT.1/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,,0877-8619-8804,6,4.2
Frisidea Tech,,frisidea.com,Yes,,,
PT. Bintang Sempurna,"Jl. Bendungan Hilir No.46, RT.8/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",bintangsempurna.co.id,Yes,0812-8875-0000,2853,4.7
Alestra.id,"Jl. Pejompongan Dalam No.31 4, RT.4/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,,(021) 5746759,3,5.0
PT Selaras Mandiri Sejahtera,"Gp Plaza, Jl. Palmerah Utara No.1, RT.1/RW.1, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",,,,3,1.0
Cahaya harapan Pasmina dan segi empat--jati baru-tanah abang,"Jl. Jatibaru 10 No.14, RT.9/RW.4, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,No,0813-1492-0503,,
P.T. Fluor Daniel Indonesia,"Wisma GKBI, Jl. Jend. Sudirman No.28 1106, RT.14/RW.1, Bendungan Hilir, Tanah Abang, Jakarta, 10210",fluor.com,Yes,(021) 5702880,9,5.0
PT Reycom Document Solusi,"Gedung Pakarti Center Lt.6 Jl. Tanah Abang 3 No 23, 25, 27, RT.3/RW.3, Petojo Sel., Kecamatan Gambir, Jakarta, Daerah Khusus Ibukota Jakarta 10160",rds.co.id,Yes,(021) 38901948,104,4.4
SwipeRx,"Jl. K.H. Mas Mansyur No.19, RT.10/RW.6, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",swiperxapp.com,Yes,(021) 5721045,26,4.3
PT. Global Dispomedika,"Jl. Penjernihan 1 No.3, RT.6/RW.6, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,(021) 5722593,13,4.9
Kreatifcity,"Kav 55-56 Jl. Aipda K.S Tubun No.85a, RT.2/RW.7, Pejompongan, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260",kreatifcity.com,Yes,(021) 29672508,,
RGE Indonesia,"Jl. Teluk Betung No.31, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",,No,(021) 3923189,14,4.6
PT Meindo Elang Indah,"Lt.27 Menara Batavia, Jl. K.H. Mas Mansyur No.126, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",,No,(021) 29675128,112,4.2
Samudera Informasi Indonesia. PT,"JL. Danau Dampelas, Blok E1/57, Bendungan Hilir, Jakarta, 10210, RT.19/RW.4, Bendungan Hilir, Tanah Abang, Central Jakarta City, Jakarta 10270",,No,(021) 57951352,4,5.0
kecilin.id,"Jl. Bendungan Hilir No.6A Blok G1, RT.11/RW.3, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,0813-2545-0918,1,5.0
Kapal Api Group,"Jl. Taman Jatibaru Barat No.2, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",kapalapiglobal.com,Yes,(021) 3503881,190,4.3
PT. MTS Indonesia,"Jl. Penjernihan II No.5A 11, RT.11/RW.6, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,(021) 5704200,6,4.7
Waringin Megah,"Jl. Bendungan Hilir No.5 Blok G1, RT.11/RW.3, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,,(021) 5739588,29,4.1
PT EDPMEDIA MULTIMITRA PRIMANUSA,"CEO Suite, Wisma GKBI 39 th FI, Jl. Jend, Sudirman No. 28, RT.16/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 10210",edpmedia.co.id,Yes,(021) 5805828,,
PT.INDOSPEC,"Citylofts Sudirman, Jl. K.H. Mas Mansyur No.121 21th floor #2121, Kb. Melati, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10250",,No,(021) 29959864,1,5.0
PT Teleakses Solusindo,"Jl. Danau Toba No.143, RT.7/RW.3, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,(021) 2522035,19,4.7
Grosir kain tanah abang,"Jl. Tanah Abang Timur No.27-28 blok a basmen 2, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,,0857-7477-3770,1,5.0
IndonesiaCore,"Jl. Palmerah Sel. No.30 A 4, RT.4/RW.2, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",indonesiacore.com,Yes,,,
IndoAgro,,,No,,1,5.0
PT. Forstok Teknologi Indonesia,"Citylofts 20-11, Jalan Kh. Mas Mansyur No.121, RT. 13 / RW. 11, Tn. abang, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",,No,0813-8233-1442,11,4.3
Chopchop,"Jl. D. Jempang No.30, RT.7/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,0852-1500-7829,,
Hendy snack and bee store,,,,0812-9162-6376,1,5.0
Skybridge Indonesia,"Dipo Tower, Jl. Gatot Subroto No.Kav 50-52, RT.1/RW.7, Petamburan, Tanah Abang, Central Jakarta City, Jakarta 10260",skybr.id,Yes,,3,5.0
Bymk Creative,"Jl. Administrasi Negara I Kompleks PU No.20 1, RT.1/RW.7, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,,0857-3610-2355,1,5.0
HALMAHERA PERSADA LYGEND,"Gedung Bank Panin, Jl. Jenderal Sudirman No.Kav 1, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",hpalnickel.com,Yes,,4,5.0
PT Beton Perkasa Wijaksana - Branch Jakarta,"Jl. Penjernihan 1 No.40, Bend. Hilir, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10210",,No,(021) 5712644,3,5.0
Primatama Konstruksi,"7, Jl. Pejompongan Raya No.3, RT.7/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,(021) 57956868,35,4.5
PT Langit Kreasi Solusindo (LKS),,,No,0811-1237-916,,
PT. Abhimata Persada,"Menara Batavia, Jl. KH Mas Mansyur Kav. 126 Karet Tengsin Tanah Abang Jakarta Pusat DKI Jakarta, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,,(021) 57930180,26,4.2
PT. Kajima Indonesia,"Sentral Senayan II Lt. 3, Jl. Asia Afrika No. 8, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",kajima.co.id,Yes,,56,4.4
Sekain Tanah Abang,"Jl Fachrudin 36 Blok C 14 Komplek Auri / Tanah Abang Bukit (Blok C No 14, Kecamatan Tanah Abang, Daerah Khusus Ibukota Jakarta 10250",,No,0818-865-685,33,5.0
"PT Gamatechno Indonesia, Jakarta Branch Office","Eco Selaras Sahid Sudirman Residence, Jl. Jenderal Sudirman No.86, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",,,(021) 39709516,29,3.4
PT Geoforce Indonesia,"Jl. Penjernihan 1 No.12B, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",geoforce-indonesia.com,Yes,(021) 57951342,52,4.7
Five Fingers,"Jl. Tanah Abang Timur, Kb. Melati, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10230",,,0878-8398-2565,5,5.0
Alfarecords,"Jl. Danau Poso No.21, RT.12/RW.4, Pejompongan, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",,No,(021) 2525998,14,4.4
SANTOS ASIA PACIFIC PTY LTD,"Jl. Jend. Sudirman Kav. 9 Gelora Tanah Abang Jakarta Pusat DKI Jakarta 1 3, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",santos.com,Yes,(021) 2700410,9,4.2
