name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
SmartLeaders,"Jl. Tanjung Duren Raya No.6B Blok 11, RT.1/RW.6, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,,2,5.0
PT. Weefer Indonesia,"Salak Masir No.7A 8, RT.5/RW.4, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 50986888,9,4.8
Yonyou Indonesia,"Jl. Tanjung Duren Raya.1 Soho Capital, # 43-06, Jakarta, Daerah Khusus Ibukota Jakarta 11470",yonyou.com.sg,Yes,(021) 50136868,1,5.0
PT. Teknologi Solusi Usaha,"Soho Capital - Podomoro City 25th Floor, Jl. Letjen S. Parman No.Kav 28, RT.3/RW.5, Daerah Khusus Ibukota Jakarta 11470",,No,0878-7163-4750,7,5.0
PT. Midix Graha Farma,"Jl. Tanjung Duren Raya No.87, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0811-828-134,,
PT Real Integrasi Nusantara,"Soho Capital, Letjen S. Parman St No.25 Lantai 20, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",,No,,8,5.0
Impact. | ERP Indonesia,"Soho Podomoro City, Jl. Letjen S. Parman No.Kav. 28, RT.13/RW.4, Tj. Duren Sel., Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta 11470",impactfirst.co,Yes,0857-2499-8845,15,5.0
CodeBoz,"Jl. Tanjung Duren Utara IX No.14, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0895-3131-0412,,
WITAMAS (WIRASINDO UTAMA SEJATI),"Gedung Soho Capital Central Park, Jl. Letjen S. Parman No.03 lantai 38 unit, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0815-8289-979,,
Unictive,"Ruko Garden Shopping Arcade No 9 BH Podomoro City (Central Park, Jl. Letjen S. Parman No.Kav 28, Jakarta, Daerah Khusus Ibukota Jakarta 11470",,No,0818-708-855,14,5.0
PT SOLUSI TEKNOLOGI SEJATI,"Jl. Raya Daan Mogot No.63 Lantai 3, RT.5/RW.1, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,,17,4.6
PT.Eversaas Power Technology,"Neo Soho Residences, Unit 2718, Tj. Duren Sel., Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta 10220",,No,0888-0999-0834,14,4.7
ScaleOcean | Solusi Sistem ERP Terbaik,"Neo Soho Podomoro City Unit 3101 Jalan Letjen S. Parman Kav. 28, RT.3/RW.5, Tanjung Duren Selatan Grogol Petamburan Kecamatan Menteng Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0877-8892-0001,9,5.0
PT Indo Sistem Global,"Neosoho Residence, Letjen S. Parman St No.Kav.28 26 Floor Unit 2610, RT.3/RW.5, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",,No,(021) 80604261,15,4.4
PT. Nusantara Duta Solusindo,"SOHO Podomoro City, Letjen S. Parman St, 17fl, Suite 1709, RT.3/RW.5, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11440",,No,(021) 30050237,5,4.2
Create Hub,"Petamburan Jl. Tanjung Duren Utara IX No.647, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0812-8768-1714,,
MileApp | Field Service Management Platform,"Neo Soho Residence 2503, l Letjen S. Parman No.Kav. 28, RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",mile.app,Yes,0878-0878-3630,2,5.0
PT. Wima Utama Indonesia,"Jl. Tanjung Duren Raya No.350, RT.7/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",,No,0813-2946-2149,,
PT. EXON Teknologi Indonesia,"APL Tower Central Park Lt.7 T9, Jl. Letjen S. Parman No.Kav. 28, RT.3/RW.5, Tj. Duren Sel., Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0877-8559-7525,,
SILSOFT JAKARTA - JASA PEMBUATAN APLIKASI DESKTOP / ANDROID / WEBSITE,"Jl. Alpukat 3 No.42, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0899-6405-550,,
Anacraft Technology Solution,"Podomoro City Rukan Garden Arcade Blok B/8 DH, Letjen S. Parman, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",anacraft.com,Yes,(021) 5659210,5,5.0
NawaData (PT Nawa Data Solutions),"APL Tower Central Park, Letjen S. Parman St No.Kav 28 20th Floor, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11440",nawadata.com,Yes,(021) 31141099,36,4.8
PT Prima Buana Internusa,"Mediterania Garden Residences 1, JL. Tanjung Duren Raya Kav 5-9, Azalea Tower 2nd Fl. Suite A/02/01B, Tanjung Duren – Grogol Petamburan, Jakarta, RT.3/RW.5, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",,,(021) 30047878,39,4.8
PT Vulcan Teknologi Indonesia,"Ruko Daan Mogot Baru, Jl. Raya Daan Mogot No.47 5, RT.5/RW.1, Tj. Duren Utara, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0821-2518-9924,,
KK Indonesia Head Office,"Jl. Raya Daan Mogot No.59A 5, RT.3/RW.1, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",kkindonesia.com,Yes,(021) 5653232,24,4.3
PT. TECHNOVA OPTIMA PRIMA,"RQGQ+79W, Unnamed Road, RT.3/RW.5, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",technova.co.id,Yes,(021) 39711689,,
PT. Gema Teknologi Cahaya Gemilang,"Podomoro City Ruko GSA B/08DH, S. Parman, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 56957022,3,2.3
PT. Baccara Indah Prima,"Jl. Tanjung Duren Utara IIIA No.337 7, RT.7/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 56950663,,
Axis Communications,"Jl. Tanjung Duren Raya, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",axis.com,Yes,(021) 50447878,,
"Barantum.com - CRM, Chats, & Call Center Software","Jl. Daan Mogot I No.8, Tj. Duren Utara, Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta 11470",barantum.com,Yes,(021) 39722000,517,4.9
CV Art Media Grup,"Tj. Duren Sel.nomor 61-63, RT.13/RW.7, Tj. Duren Utara, Grogol petamburan,, Kota, Jakarta Barat, RT.11/RW.2, Tanjung Duren Selatan, RT.11/RW.2, Tj. Duren Sel., Kec. Grogol petamburan, Jakarta, Daerah Khusus Ibukota Jakarta 11470",,,,13,3.5
Jeju Island Smoothies Bar Tanjung Duren,"Jl. Tanjung Duren Raya No.359A 7, RT.7/RW.3, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0811-1915-7120,7,5.0
PT Dinamika Teknologi Informasi,"Podomoro City, JL let. S Parman kav 28 Soho Capital 19th Floor Tanjung Duren Selatan Grogol Petamburan 14470, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",dinamikateknologi.com,Yes,0815-8491-8007,,
Transporta.id,"Soho Capital, 19th Floor, Podomoro City, JL let, Jl. Jelambar Barat No.28, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 50515060,,
Pemadam,"6, Jl. Tanjung Duren Raya No.69E, RT.2/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,,,
Apergu Solutions (PT. Envisi Mitra Tekindo),"SOHO Capital Podomoro City, Jl. Letjen S. Parman No.Kav. 28 25th Floor Unit 2508, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 22213477,1,5.0
