name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
Jalan Tanjung Gedong,"Tomang, Grogol petamburan, West Jakarta City, Jakarta",,,,1,5.0
Jln. Tj. Gedong,"Tomang, Grogol petamburan, West Jakarta City, Jakarta",,,,,
Intan Agtaprima. PT,"Jl. Tanjung Duren Raya No.135B, RT.1/RW.3, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 5683729,6,4.2
APL Tower Central Park,"Central Park Tower, Jl. Letjen S. Parman No.Kav 28, RT.12/RW.7, Petamburan, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",,,(021) 56988888,1744,4.7
grogol,"QQQW+3V8, Jl. Gelora, RT.1/RW.3, baru Utara Tomang, Kec. Grogol petamburan, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",,,,,
PT HFX Internasional Berjangka,"APL Tower, Letjen S. Parman St No.Kav. 28 Lantai 16, RT.12/RW.6, South Tanjung Duren, Grogol petamburan, West Jakarta City, Jakarta 11470",,No,(021) 29337651,3,5.0
Tomang Properti Indonesia,"Jl. Kamboja No.2B Lantai 3, RT.5/RW.1, Jatipulo, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430",,No,0878-6767-8989,1,5.0
SOHO Podomoro City,"Jl. Letjen S. Parman No.Kav. 28 3, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,,19,3.7
Gedung Graha Kencana,"Graha Kencana Building 8C, 8th floor Jln. Raya Perjuangan No,88 Kebon Jeruk, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530",,,,124,3.9
Genting Oil Natuna Pte Ltd,"Jl. Jend Sudirman Kav 54-55 Senayan Kebayoran Baru Jakarta Selatan DKI Jakarta, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",,,(021) 5273828,2,1.0
Green Sedayu Biz Park,"Green Sedayu Bizpark Jl Raya Daan Mogot km 18 blok dm1 no 9, RT.11/RW.6, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840",,,,4059,4.3
PT. Witteveen Bos Indonesia,"No. 27 Park View Plaza Lantai 6, Jl. Taman Kemang, RT.14/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",witteveenbos.com,Yes,(021) 7191282,18,4.7
PT Indosukses Futures,"Sona Topas Tower Lantai 12 Suite 12-04, Jl. Jenderal Sudirman No.26, RT.4/RW.2, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920",,,(021) 2528833,55,3.3
ABNR Counselors at Law,"Graha CIMB Niaga, Jl. Jenderal Sudirman No.Kav. 58 24th floor, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190",abnrlaw.com,Yes,(021) 2505125,58,4.6
Finex,"SoHo Pancoran, Splendor Tower 30th Floor Unit 3001-3006, MT Haryono St, RT.1/RW.6, West Tebet, Tebet, South Jakarta City, Jakarta 12810",,No,(021) 50101569,61,4.2
The Dutch Business Network,"Graha CIMB Niaga Lt.24, Jl. Jend. Sudirman Kav.58, Daerah Khusus Ibukota Jakarta",,,,,
